chr,pos,cms_score,genes
chr9,7104271,10.2515,KDM4C
chr6,55681052,10.2515,BMP5
chr18,12015915,10.2515,ANKRD62 & IMPA2
chr4,48129763,10.2455,NIPAL1 & TEC & TXK
chr2,32502507,10.2412,BIRC6 & NLRC4 & SLC30A6 & YIPF4
chr10,27271427,10.2412,ANKRD26 & FAM238C
chr20,44337686,10.231,DNTTIP1 & MIR3617 & SPINT4 & WFDC10A & WFDC10B & WFDC11 & WFDC13 & WFDC3 & WFDC9
chr4,166800215,10.2295,TLL1
chr13,76470359,10.2268,LINC00561 & LMO7 & LMO7DN & LMO7DN-IT1
chr17,30598128,10.2228,C17orf75 & MIR632 & RHBDL3 & RHOT1 & ZNF207
chr6,90723906,10.2182,BACH2
chr7,133818845,10.2178,EXOC4 & LRGUK
chr3,29723836,10.216,RBMS3
chr9,22848158,10.2015,LINC01239
chr5,72967773,10.2015,ARHGEF28 & UTP15
chr15,87788472,10.1945,NONAME
chr19,41807845,10.1878,AXL & B9D2 & BCKDHA & CCDC97 & CYP2S1 & EXOSC5 & HNRNPUL1 & TGFB1 & TMEM91
chr3,97339649,10.1829,EPHA6
chr20,50201439,10.181,ATP9A & NFATC2
chr18,63670824,10.1808,NONAME
chr2,72272773,10.1802,CYP26B1
chr13,54824159,10.1786,MIR1297
chr3,107375421,10.1779,BBX
chr19,45022672,10.1773,CEACAM20 & CEACAM22P & IGSF23 & ZNF180 & ZNF229
chr4,15184396,10.1727,LOC101929095
chr6,137901303,10.1677,LOC102723649 & OLIG3
chr13,30847064,10.1667,KATNAL1 & LINC00426
chr1,43692983,10.1655,C1orf210 & CFAP57 & EBNA1BP2 & FAM183A & MIR6733 & TIE1 & TMEM125
chr1,199324641,10.162,LOC400800
chr12,16202521,10.1585,DERA
chr13,50984522,10.1565,DLEU1
chr2,235956000,10.1507,SH3BP4
chr20,44534651,10.1506,ACOT8 & CTSA & DNTTIP1 & NEURL2 & PCIF1 & PLTP & SNX21 & SPATA25 & TNNC2 & UBE2C & ZNF335 & ZSWIM1 & ZSWIM3
chr11,36114176,10.1455,LDLRAD3 & LOC101928510 & MIR3973
chr2,56122898,10.1451,EFEMP1 & MIR216A & MIR217 & MIR217HG
chr21,40040750,10.1373,ERG & LINC00114
chr11,103723174,10.1359,MIR4693 & PDGFD
chr1,239328858,10.1322,NONAME
chr4,130650832,10.128,LINC02465 & LINC02466
chr4,184470393,10.1268,ING2 & LOC389247 & RWDD4
chr1,81205625,10.1251,LINC01781
chr1,237342647,10.1188,RYR2
chr4,60156561,10.1094,NONAME
chr12,5750109,10.0993,ANO2
chr4,102643156,10.0988,BANK1
chr6,153580542,10.0954,NONAME
chr9,83000495,10.0953,NONAME
chr9,12212403,10.0889,NONAME
chr6,1246158,10.0817,FOXQ1
chr2,181000966,10.0781,NONAME
chr2,180995334,10.0781,NONAME
chr3,30567666,10.078,LINC01985 & TGFBR2
chr10,103044154,10.0765,BTRC & LBX1 & LBX1-AS1 & LINC01514 & LOC101927419
chr19,13622741,10.0718,CACNA1A
chr6,111012332,10.0666,CDK19
chr5,164221582,10.0664,NONAME
chr1,16339419,10.0636,CLCNKA & CLCNKB & FAM131C & HSPB7 & SPEN & SRARP & ZBTB17
chr10,34546069,10.0604,PARD3
chr5,145902631,10.0599,GPR151 & PPP2R2B & TCERG1
chr14,48345339,10.0598,LINC00648
chr2,30620721,10.0407,LCLAT1 & LINC01936
chr20,51678536,10.0393,TSHZ2
chr1,57852859,10.0382,DAB1
chr13,96300448,10.0356,CLDN10 & DNAJC3 & DNAJC3-DT & DZIP1
chr10,2094839,10.033,LINC00700 & MIR6072
chr7,46049467,10.0313,IGFBP3
chr22,49149667,10.026,FAM19A5 & MIR4535
chr4,74103909,10.0251,ANKRD17
chr19,53918252,10.0217,TPM3P9 & ZNF525 & ZNF761 & ZNF765 & ZNF765-ZNF761 & ZNF813 & ZNF845
chr13,96720401,10.0182,HS6ST3 & UGGT2
chr7,13278706,10.015,NONAME
chr8,32433166,10.0126,NRG1
chr1,87221151,10.0098,CLCA4-AS1 & SH3GLB1
chr11,107521280,10.0085,ALKBH8 & ELMOD1 & SLN
chr6,6873401,9.99814,NONAME
chr18,50207167,9.99765,DCC
chr6,68494097,9.99623,NONAME
chr10,123274062,9.99623,FGFR2
chr16,86073003,9.99488,NONAME
chr6,56072269,9.99404,COL21A1
chr10,123802122,9.99164,ATE1-AS1 & NSMCE4A & TACC2
chr22,41163753,9.9904,DNAJB7 & MCHR1 & MIR4766 & SLC25A17 & ST13 & XPNPEP3
chr16,74745663,9.9904,FA2H & MLKL & RFWD3
chr15,84502549,9.98991,ADAMTSL3
chr2,41367404,9.98688,NONAME
chr16,61486933,9.98654,NONAME
chr4,126748220,9.98615,NONAME
chr2,230039041,9.983,PID1
chr1,195443818,9.981,NONAME
chr9,140972327,9.97951,CACNA1B & LOC101928786 & TUBBP5
chr3,192596458,9.97951,MB21D2
chr12,3868168,9.97951,CRACR2A & PARP11
chr2,7217423,9.97932,LOC101929452 & RNF144A
chr7,133339343,9.97706,EXOC4
chr4,32595344,9.97706,NONAME
chr2,153831780,9.97333,NONAME
chr5,59345225,9.97257,PDE4D
chr7,126586470,9.97047,GRM8
chr10,23478374,9.97047,C10orf67 & MSRB2 & PTF1A
chr6,18754423,9.9699,MIR548A1HG
chr19,51430436,9.9693,KLK10 & KLK11 & KLK15 & KLK2 & KLK3 & KLK4 & KLK5 & KLK6 & KLK7 & KLK8 & KLK9 & KLKP1 & LOC105372441
chr1,74693161,9.96898,FPGT & FPGT-TNNI3K & LRRIQ3 & TNNI3K
chr22,45314246,9.96701,ARHGAP8 & LOC101927551 & PHF21B & PRR5-ARHGAP8
chr18,53167729,9.96701,MIR4529 & TCF4 & TCF4-AS1
chr13,63980238,9.96159,LINC00376
chr4,86798882,9.96157,ARHGAP24
chr16,13001115,9.96024,SHISA9
chr1,77922881,9.9495,AK5
chr3,121815461,9.9476,CASR & CD86 & ILDR1
chr22,48853277,9.9476,FAM19A5 & LOC284933
chr11,71726785,9.94578,ANAPC15 & IL18BP & LAMTOR1 & LOC100128494 & LOC100133315 & LRTOMT & MIR3165 & NUMA1 & RNF121
chr1,56770906,9.94287,NONAME
chr2,223108791,9.94178,CCDC140 & LOC440934 & PAX3
chr5,157401101,9.92818,NONAME
chr6,41694773,9.92515,FRS3 & MDFI & PGC & PRICKLE4 & TFEB & TOMM6 & USP49
chr16,13889007,9.92515,NONAME
chr1,207880683,9.92435,CD46 & CR1 & CR1L & MIR29B2 & MIR29B2CHG & MIR29C
chr1,17523235,9.924,LOC400743 & MIR3972 & PADI1 & PADI2 & PADI3
chr4,133147914,9.91698,NONAME
chr16,74401675,9.91372,CLEC18B & GLG1 & LOC105376772 & LOC283922 & NPIPB15 & PSMD7
chr13,36082762,9.91372,MAB21L1 & NBEA
chr5,102960531,9.91367,LINC02115 & NUDT12
chr8,91409137,9.91349,LINC00534
chr9,8792805,9.9118,PTPRD & PTPRD-AS1
chr14,61872240,9.90768,PRKCH
chr9,36999369,9.89932,EBLN3P & PAX5
chr2,206356314,9.89932,PARD3B
chr2,207809226,9.8906,CPO
chr1,41895497,9.8906,EDN2 & FOXO6 & HIVEP3 & LOC101929901
chr10,130347522,9.88144,NONAME
chr10,59186295,9.87824,NONAME
chr7,22640389,9.87615,LOC100506178 & LOC401312
chr15,34362408,9.87314,AVEN & CHRM5 & EMC7 & KATNBL1 & PGBD4
chr16,66081266,9.87096,NONAME
chr10,78718836,9.87019,KCNMA1 & KCNMA1-AS1
chr10,61206155,9.86973,FAM13C
chr1,79260050,9.8673,ADGRL4
chr11,103877648,9.86187,DDI1 & PDGFD
chr8,867233,9.85956,DLGAP2
chr18,35536507,9.85411,NONAME
chr4,103102314,9.8529,SLC39A8
chr5,159335852,9.85285,ADRA1B & LINC01847
chr2,58825311,9.85172,LINC01122
chr8,108663112,9.85123,NONAME
chr18,71431929,9.8473,NONAME
chr19,58573083,9.84712,C19orf18 & LOC100128398 & ZNF135 & ZNF329 & ZNF606 & ZSCAN1 & ZSCAN18
chr19,18509526,9.84371,ELL & GDF15 & ISYNA1 & LRRC25 & LSM4 & MIR3189 & PGPEP1 & SSBP4
chr5,161444006,9.84091,GABRG2 & LINC01202
chr9,37000687,9.83174,EBLN3P & PAX5
chr11,2247267,9.82378,ASCL2 & C11orf21 & IGF2 & IGF2-AS & INS & INS-IGF2 & MIR4686 & MIR483 & TH & TSPAN32
chr5,172972358,9.8173,BOD1 & LOC285593
chr1,239500705,9.81512,CHRM3
chr1,13832617,9.80247,LRRC38 & PDPN & PRAMEF20
chr6,54228413,9.80246,MLIP & TINAG
chr3,107523913,9.79906,BBX & LINC00635 & LINC00636
chr16,64469366,9.79723,NONAME
chr21,27054060,9.79284,ATP5PF & GABPA & JAM2 & LINC00515 & MRPL39
chr2,214813597,9.79284,SPAG16
chr8,20738519,9.78754,LINC02153 & LOC102467222
chr8,135611553,9.78669,ZFAT & ZFAT-AS1
chr1,72401521,9.78066,NEGR1 & NEGR1-IT1
chr1,72393048,9.78066,NEGR1 & NEGR1-IT1
chr18,53234728,9.78026,MIR4529 & TCF4 & TCF4-AS1
chr8,27578676,9.77651,CCDC25 & ESCO2 & MIR3622A & MIR3622B & PBK & SCARA3
chr3,65089136,9.77651,ADAMTS9-AS2
chr16,86228073,9.77632,LINC01081 & LINC01082 & LINC02135
chr9,4246688,9.77535,GLIS3
chr11,80516382,9.76996,LOC101928944
chr2,16547645,9.76903,NONAME
chr22,45881554,9.76843,FBLN1 & RIBC2 & SMC1B
chr11,101000370,9.76775,PGR & PGR-AS1
chr1,173051406,9.76624,TNFSF18
chr1,90063613,9.76519,LRRC8B & LRRC8C & LRRC8C-DT
chr2,228808819,9.76291,DAW1 & SPHKAP
chr2,209991699,9.7582,NONAME
chr3,66331579,9.75591,LRIG1 & SLC25A26
chr20,50502683,9.75591,LINC01429 & SALL4
chr17,77103261,9.7456,C1QTNF1 & C1QTNF1-AS1 & CANT1 & ENGASE & RBFOX3
chr14,47466134,9.74419,MDGA2
chr7,15708650,9.74009,LINC02587 & LOC105375166 & MEOX2
chr6,163330547,9.74009,PACRG
chr15,33492669,9.73175,FMN1 & TMCO5B
chr11,103140936,9.73171,DYNC2H1
chr2,174490915,9.73156,NONAME
chr18,13175481,9.73072,C18orf15 & CEP192 & LDLRAD4
chr9,3574470,9.7255,RFX3 & RFX3-AS1
chr19,53415761,9.7255,ZNF28 & ZNF320 & ZNF321P & ZNF468 & ZNF702P & ZNF816 & ZNF816-ZNF321P & ZNF888
chr8,39793368,9.72517,ADAM2 & IDO1 & IDO2
chr8,120021840,9.72517,COLEC10 & LOC101927513 & TNFRSF11B
chr5,154488081,9.72517,KIF4B
chr15,22980684,9.72517,CYFIP1 & NIPA1 & NIPA2 & TUBGCP5
chr1,12212385,9.72517,MIR4632 & MIR7846 & TNFRSF1B & TNFRSF8 & VPS13D
chr6,161824910,9.7235,LOC105378098 & PRKN
chr3,9922949,9.71903,ARPC4 & ARPC4-TTLL3 & CIDEC & CRELD1 & EMC3 & IL17RC & IL17RE & JAGN1 & PRRT3 & PRRT3-AS1 & RPUSD3 & TADA3 & TTLL3
chr9,140473388,9.71833,ARRDC1 & ARRDC1-AS1 & DPH7 & EHMT1 & MRPL41 & PNPLA7 & ZMYND19
chr8,32307635,9.71587,NRG1 & NRG1-IT3
chr1,61410707,9.71476,NFIA-AS2
chr9,103338012,9.71439,CAVIN4 & MSANTD3-TMEFF1 & TMEFF1
chr15,25165844,9.71439,PWAR5 & PWARSN & SNHG14 & SNORD107 & SNORD108 & SNORD64 & SNRPN & SNURF
chr11,83479572,9.71439,DLG2
chr5,148783268,9.70714,AFAP1L1 & CARMN & CSNK1A1 & GRPEL2 & GRPEL2-AS1 & IL17B & MIR143 & MIR145 & PCYOX1L
chr15,60423980,9.70152,NONAME
chr3,9214060,9.70039,SRGAP3 & SRGAP3-AS2 & SRGAP3-AS3 & SRGAP3-AS4
chr3,117826353,9.70032,NONAME
chr10,50003569,9.69997,WDFY4
chr13,91097371,9.69651,LINC01049
chr5,145285158,9.69212,GRXCR2 & PRELID2 & SH3RF2
chr8,24208606,9.69203,ADAM28 & ADAM7 & ADAMDEC1 & LOC101929294
chr19,53110201,9.68818,ZNF137P & ZNF578 & ZNF611 & ZNF701 & ZNF808 & ZNF83
chr3,71982068,9.68444,NONAME
chr14,82955452,9.68444,NONAME
chr15,52225041,9.67636,LEO1 & LOC100422556 & MAPK6 & MAPK6-DT & TMOD3
chr13,64536072,9.67636,LINC00355
chr5,8473775,9.6755,LINC02226 & MIR4458 & MIR4458HG
chr17,35731855,9.67502,ACACA & C17orf78 & TADA2A
chr13,108015445,9.67421,FAM155A & SNORD31B
chr7,133054712,9.67053,EXOC4 & MIR6133
chr13,42159202,9.67053,MIR5006 & VWA8
chr17,66176080,9.66983,AMZ2 & ARHGAP27P2 & ARSG & LINC00674 & SLC16A6
chr18,13253794,9.65849,C18orf15 & LDLRAD4
chr4,86825599,9.65246,ARHGAP24
chr3,132878424,9.65116,TMEM108 & TMEM108-AS1
chr4,184703567,9.64648,STOX2 & TRAPPC11
chr16,24345826,9.64381,CACNG3 & LINC2194
chr1,198216990,9.64302,NEK7
chr14,21982353,9.64155,CHD8 & METTL3 & OR10G3 & RAB2B & SALL2 & TOX4
chr4,132964218,9.63825,NONAME
chr4,166435062,9.6362,CPE
chr2,192101723,9.63451,MYO1B & STAT4
chr14,32461375,9.63451,ARHGAP5 & ARHGAP5-AS1 & LINC02313
chr14,107185885,9.63451,MIR5195
chr12,113267081,9.63009,OAS1 & RPH3A
chr12,121360787,9.62815,C12orf43 & HNF1A & HNF1A-AS1 & OASL & SPPL3 & XLOC_009911
chr3,138698474,9.62647,FOXL2 & FOXL2NB & LINC01391 & PRR23A & PRR23B & PRR23C
chr18,77143075,9.62453,ATP9B & NFATC1
chr9,130811542,9.62303,FAM102A & NAIF1 & PTGES2 & PTGES2-AS1 & SLC25A25 & SLC25A25-AS1
chr9,82996128,9.62149,NONAME
chr10,106558997,9.61613,SORCS3
chr11,9071106,9.61286,DENND5A & KRT8P41 & MIR5691 & NRIP3 & SCUBE2 & TMEM9B & TMEM9B-AS1
chr16,89437983,9.61069,ANKRD11 & LOC100287036 & LOC101927817 & LOC105371414
chr9,4471287,9.61049,SLC1A1
chr9,30607525,9.61049,NONAME
chr6,21675060,9.61049,CASC15 & SOX4
chr11,128478885,9.61049,ETS1 & ETS1-AS1 & FLI1 & LOC101929538 & MIR6090 & SENCR
chr9,129320566,9.61033,LMX1B & MVB12B
chr1,198417779,9.60802,ATP6V1G3
chr9,33388004,9.60522,AQP3 & AQP7 & MIR6851 & NFX1 & NOL6
chr19,50897607,9.60465,EMC10 & FAM71E1 & KCNC3 & MYBPC2 & MYH14 & NAPSA & NAPSB & NR1H2 & POLD1 & SPIB
chr18,70532840,9.59856,LOC100505797 & MIR548AV & NETO1
chr7,63876334,9.59478,YWHAEP1 & ZNF736
chr14,36618086,9.59478,LINC00609 & PTCSC3
chr1,19124368,9.59263,ALDH4A1 & MIR1290 & MIR4695 & PAX7 & TAS1R2
chr14,77142126,9.59106,VASH1
chr14,49580320,9.59059,NONAME
chr3,156992583,9.58954,VEPH1
chr2,49085304,9.58643,STON1-GTF2A1L
chr2,171427361,9.58526,MYO3B
chr18,43583205,9.58288,ATP5F1A & EPG5 & PSTPIP2
chr17,3635740,9.58221,CTNS & EMC6 & HASPIN & ITGAE & NCBP3 & P2RX5 & P2RX5-TAX1BP3 & SHPK & TAX1BP3
chr10,115475623,9.57949,CASP7 & MIR4483 & NRAP & PLEKHS1
chr4,25466257,9.57811,ANAPC4 & LOC101929161 & ZCCHC4
chr5,99708360,9.57382,LOC100133050
chr13,54795314,9.57089,LINC00458 & MIR1297
chr7,5935133,9.56866,CCZ1 & OCM & PMS2 & RSPH10B & RSPH10B2 & ZNF815P
chr14,78401921,9.56772,ADCK1
chr13,63679145,9.56432,LINC00376
chr15,55112429,9.56198,NONAME
chr16,78540792,9.55965,WWOX
chr12,8702494,9.5524,AICDA & CLEC4D & CLEC4E & CLEC6A & MFAP5
chr13,20932210,9.53843,CRYL1 & MIR4499
chr16,71352756,9.53173,CALB2 & CMTR2 & HYDIN & LINC02136
chr1,97673986,9.52346,DPYD & DPYD-AS1
chr3,60156189,9.52051,FHIT
chr12,79637453,9.5112,SYT1
chr3,2462526,9.50275,CNTN4
chr5,164918149,9.5021,NONAME
chr5,163485881,9.5021,NONAME
chr4,101191158,9.5021,DDIT4L & LOC101929353
chr14,51870661,9.5021,FRMD6 & FRMD6-AS2 & LINC00519 & LINC00640 & LINC02310
chr1,2813233,9.5021,TTC34
chr4,79835022,9.49584,BMP2K & LINC01088 & PAQR3
chr9,35654277,9.49044,ARHGEF39 & CA9 & CCDC107 & CD72 & CREB3 & FAM166B & GBA2 & LOC101926948 & MIR4667 & MIR6852 & MIR6853 & MSMP & RGP1 & RMRP & RUSC2 & SIT1 & TESK1 & TLN1 & TPM2
chr3,6110511,9.49044,NONAME
chr4,92610423,9.48802,CCSER1
chr17,2133571,9.47977,LOC101927839 & SMG6 & SNORD91B & SRR & TSR1
chr8,60177047,9.47511,NONAME
chr15,93923553,9.47511,NONAME
chr12,113517494,9.47428,CFAP73 & DDX54 & DTX1 & MIR7106 & OAS2 & RASAL1
chr11,13019218,9.47227,LINC00958 & RASSF10 & TEAD1
chr6,18287564,9.46628,DEK & KDM1B
chr2,192865778,9.4606,TMEFF2
chr8,134844883,9.45175,LOC101927798 & LOC101927822
chr4,117520775,9.45162,NONAME
chr11,16187609,9.45162,SOX6
chr8,25245312,9.45102,CDCA2 & DOCK5 & GNRH1 & KCTD9 & MIR6876
chr14,38231946,9.44698,TTC6
chr11,24389328,9.44303,NONAME
chr4,101859226,9.43855,PPP3CA
chr21,16403394,9.43211,NRIP1
chr2,184347302,9.42911,NONAME
chr10,135112376,9.42479,ADAM8 & CALY & ECHS1 & FUOM & KNDC1 & MIR202 & MIR202HG & MIR3944 & MTG1 & PAOX & PRAP1 & TUBGCP2 & UTF1 & VENTX & ZNF511
chr9,4135650,9.42419,GLIS3
chr7,14945615,9.42419,DGKB
chr5,79411443,9.42419,CTD-2201I18.1 & SERINC5 & THBS4
chr20,6397288,9.42419,CASC20
chr14,22003019,9.42419,CHD8 & METTL3 & OR10G2 & OR10G3 & RAB2B & SALL2 & TOX4
chr5,111141492,9.41883,NREP & STARD4-AS1
chr13,114202549,9.41584,ADPRHL1 & DCUN1D2 & TFDP1 & TMCO3
chr19,44959399,9.41402,CEACAM20 & CEACAM22P & ZNF112 & ZNF180 & ZNF229 & ZNF285
chr16,30517090,9.41402,DCTPP1 & ITGAL & MIR4518 & SEPHS2 & SNORA80C & ZNF688 & ZNF689 & ZNF747 & ZNF764 & ZNF768 & ZNF771 & ZNF785
chr12,46063580,9.41381,ARID2 & LINC00938
chr11,8302492,9.41172,LMO1
chr17,35195530,9.40981,LHX1 & LHX1-DT
chr1,88129038,9.40981,NONAME
chr3,21367007,9.40749,VENTXP7 & ZNF385D
chr12,1768796,9.40587,ADIPOR2 & FBXL14 & MIR3649 & WNT5B
chr10,46206763,9.40566,WASHC2C & ZFAND4
chr5,164610621,9.4017,NONAME
chr11,16216688,9.4017,SOX6
chr8,98357081,9.39461,LOC101927066 & SNORD3H & TSPYL5
chr2,47020976,9.3833,LINC01118 & LINC01119 & SOCS5
chr16,5125879,9.38278,ALG1 & C16orf89 & EEF2KMT & NAGPA & NAGPA-AS1 & SEC14L5
chr7,98154353,9.37902,NPTX2
chr20,52882815,9.37887,CYP24A1 & PFDN4
chr7,31543482,9.37329,ITPRID1
chr2,200618356,9.37176,FTCDNL1 & LINC01877
chr6,17391393,9.36841,CAP2 & RBM24
chr11,24191827,9.36484,NONAME
chr2,210122736,9.36415,NONAME
chr20,6133562,9.35824,FERMT1 & LRRN4
chr19,41256712,9.35824,C19orf54 & COQ8B & CYP2A6 & CYP2T1P & EGLN2 & ITPKC & MIA & MIA-RAB4B & NUMBL & RAB4B & RAB4B-EGLN2 & SNRPA
chr5,150649006,9.35789,CCDC69 & GM2A & SLC36A2 & SLC36A3
chr4,170793323,9.35762,LINC02275
chr4,118382057,9.35692,LINC01378 & LINC02263
chr5,176000821,9.35384,CDHR2 & EIF4E1B & FAF2 & GPRIN1 & MIR4281 & RNF44 & SNCB & TSPAN17
chr15,36684251,9.35384,NONAME
chr5,138613937,9.34748,MATR3 & PAIP2 & SIL1 & SLC23A1 & SNHG4 & SNORA74A & SNORA74D
chr3,133741997,9.34652,C3orf36 & LINC02000 & SLCO2A1
chr9,88110013,9.34598,AGTPBP1
chr8,23006583,9.34598,CHMP7 & LOC254896 & LOC286059 & LOC389641 & TNFRSF10A & TNFRSF10B & TNFRSF10C & TNFRSF10D
chr5,35200162,9.3411,PRLR
chr3,35286275,9.3411,LOC101928135
chr11,33424115,9.3411,HIPK3
chr2,174674675,9.34082,SP3
chr4,75228471,9.33991,AREG & EPGN & EREG & MTHFD2L
chr15,26569608,9.33991,NONAME
chr11,120414850,9.33991,ARHGEF12 & GRIK4
chr11,118200201,9.33816,ATP5MG & CD3D & CD3E & CD3G & LOC100131626 & MPZL2 & MPZL3 & UBE4A
chr3,54898919,9.33744,CACNA2D3 & CACNA2D3-AS1 & LRTM1
chr15,58448311,9.33744,ALDH1A2 & AQP9 & LOC283665
chr11,102130465,9.33744,BIRC2 & BIRC3 & YAP1
chr11,125267181,9.33442,FEZ1 & LOC403312 & PKNOX2
chr7,154626819,9.32881,DPP6 & PAXIP1-AS2
chr14,39311307,9.32763,LINC00639 & LOC105370457
chr7,55335688,9.32678,EGFR & EGFR-AS1 & ELDR & LANCL2
chr4,155194838,9.32534,DCHS2
chr8,24452171,9.32221,ADAM7 & LOC101929294 & LOC101929315
chr11,107623305,9.3207,ELMOD1 & SLC35F2 & SLN
chr10,18743183,9.32062,CACNB2 & NSUN6
chr18,53440175,9.31917,LINC01415
chr8,25734627,9.31901,EBF2
chr10,78814856,9.31847,KCNMA1 & KCNMA1-AS1 & KCNMA1-AS2
chr7,40308485,9.31594,SUGCT
chr5,108634557,9.31594,LOC285638 & PJA2
chr1,240088150,9.31594,CHRM3 & CHRM3-AS1 & RPS7P5
chr2,8404110,9.31531,LINC00299
chr11,12498227,9.31531,PARVA
chr2,134604990,9.31513,NONAME
chr6,107459944,9.31474,BEND3 & C6orf203 & PDSS2
chr1,74242011,9.31474,LINC02238
chr4,102925567,9.31471,BANK1
chr18,342544,9.31363,COLEC12 & THOC1
chr5,15678848,9.31349,CTD-2350J17.1 & FBXL7
chr3,6229183,9.31349,NONAME
chr2,98706676,9.31349,TMEM131 & VWA3B
chr15,50586836,9.31349,GABPB1 & GABPB1-AS1 & GABPB1-IT1 & HDC & MIR4712 & SLC27A2
chr13,97716162,9.31294,LINC00359 & OXGR1
chr14,33061486,9.31287,AKAP6
chr19,51266784,9.31001,ACP4 & C19orf48 & CLEC11A & GPR32 & KLK1 & KLK15 & KLK3 & LINC01869 & LOC105372440 & LOC105372441 & SHANK1 & SNORD88A & SNORD88B & SNORD88C
chr19,6561327,9.306,CD70 & CRB3 & DENND1C & TNFSF14 & TNFSF9 & TUBB4A
chr19,559339,9.306,BSG & CDC34 & FGF22 & GZMM & HCN2 & MADCAM1 & ODF3L2 & POLRMT & RNF126 & SHC2 & TPGS1
chr6,52836410,9.30486,FBXO9 & GSTA3 & GSTA4 & ICK
chr17,3822069,9.30486,ATP2A3 & CAMKK1 & LINC01975 & NCBP3 & P2RX1 & ZZEF1
chr4,127537734,9.30468,NONAME
chr7,26007702,9.30457,MIR148A
chr8,20283918,9.29755,NONAME
chr14,97821020,9.29698,NONAME
chr5,15571736,9.29574,CTD-2350J17.1 & FBXL7
chr6,40346055,9.29383,LINC00951 & LRFN2 & TDRG1
chr13,63325416,9.29368,LINC00448
chr9,9321597,9.29119,PTPRD
chr2,193509,9.29032,ACP1 & ALKAL2 & SH3YL1
chr2,8323852,9.28679,LINC00299
chr18,8446220,9.28679,LOC100192426 & PTPRM
chr20,24869553,9.27569,APMAP & CST7
chr1,48969217,9.27495,AGBL4 & SPATA6
chr14,46282970,9.27379,LINC02303
chr5,31104878,9.26778,CDH6
chr15,49404979,9.26656,COPS2 & GALK2 & MIR4716 & NDUFAF4P1 & SECISBP2L
chr7,12654570,9.26644,ARL4A & LOC102725191 & SCIN
chr11,8738532,9.26644,LOC102724784 & RPL27A & SNORA3A & SNORA3B & ST5 & TRIM66
chr6,18479891,9.25913,MIR548A1 & MIR548A1HG & RNF144B
chr1,73219478,9.25913,NONAME
chr8,135225058,9.25785,NONAME
chr14,78008171,9.25465,AHSA1 & ISM2 & SPTLC2 & VIPAS39
chr13,108567640,9.24975,FAM155A & FAM155A-IT1
chr14,98679071,9.24469,NONAME
chr13,58717996,9.24463,LINC00374 & LINC02338
chr14,105553403,9.24109,CDCA4 & CLBA1 & GPR132 & JAG2 & LINC02298 & MIR6765 & NUDT14
chr1,212868713,9.23591,ATF3 & BATF3 & FAM71A & NSL1 & TATDN3
chr18,11982210,9.22334,GNAL & IMPA2 & MPPE1
chr3,146333688,9.21712,PLSCR1 & PLSCR5
chr11,35201515,9.21559,CD44 & LOC100507144 & SLC1A2 & SNORD164
chr3,100192349,9.21316,LNP1 & TMEM45A & TOMM70
chr17,7974834,9.2126,ALOX12B & ALOX15B & ALOXE3 & GUCY2D & HES7 & MIR4314 & MIR6883 & PER1 & VAMP2
chr13,96018091,9.2126,ABCC4 & CLDN10
chr9,9928093,9.20702,PTPRD
chr8,119642918,9.20702,SAMD12 & SAMD12-AS1
chr1,175416603,9.20511,TNR
chr8,105426201,9.19494,DCSTAMP & DPYS & LRP12
chr6,43239561,9.19494,CRIP3 & CUL9 & DNPH1 & SLC22A7 & SRF & TTBK1 & ZNF318
chr13,66930599,9.19406,PCDH9
chr6,101518767,9.19108,NONAME
chr11,106961843,9.18931,GUCY1A2
chr18,46549155,9.18928,DYM & LOC100129878 & MIR4744 & SMAD7
chr7,6974171,9.18765,NONAME
chr1,180174406,9.18701,ACBD6 & CEP350 & LHX4 & LHX4-AS1 & QSOX1
chr8,81061523,9.18683,MIR5708 & TPD52
chr8,40643406,9.18444,ZMAT4
chr14,71348847,9.18115,MAP3K9 & PCNX1
chr22,23224970,9.17911,IGLL5 & MIR5571 & MIR650
chr6,162321546,9.17869,PRKN
chr12,8375922,9.17869,CLEC4A & FAM66C & FAM86FP & FAM90A1 & LINC02449 & POU5F1P3 & ZNF705A
chr4,154984880,9.17777,NONAME
chr16,18755194,9.17514,ARL6IP1 & RPS15A & SMG1
chr3,196410129,9.17274,CEP19 & FBXO45 & LINC01063 & NRROS & PAK2 & PIGX
chr3,10271265,9.17274,ATP2B2 & GHRL & GHRLOS & IRAK2 & LINC00852 & SEC13 & TATDN2 & VHL
chr5,76288102,9.16998,AGGF1 & CRHBP & S100Z & SNORA47 & ZBED3 & ZBED3-AS1
chr11,43543367,9.1634,MIR129-2 & MIR670 & MIR670HG & TTC17
chr1,194557475,9.16291,NONAME
chr12,102391695,9.15794,DRAM1 & NUP37 & WASHC3
chr3,138980265,9.15676,COPB2 & MRPS22 & PISRT1
chr11,23307568,9.15669,NONAME
chr8,32963969,9.15524,NONAME
chr6,50351870,9.15483,NONAME
chr8,41690732,9.15444,ANK1 & KAT6A
chr5,87894617,9.14948,LINC00461 & MEF2C-AS2 & MIR9-2
chr1,28380471,9.14948,EYA3 & PTAFR & SMPDL3B & XKR8
chr3,15196123,9.14799,CAPN7 & COL6A4P1 & MRPS25 & RBSN & SH3BP5 & SH3BP5-AS1
chr5,165675683,9.14647,NONAME
chr4,126931413,9.14647,NONAME
