"chr","pos","cms_score","genes","bin"
"chr4",69147331,10.3888,"FTLP10 & TMPRSS11B & TMPRSS11BNL & YTHDC1","346"
"chr14",24536750,10.3888,"CARMIL3 & CPNE6 & DCAF11 & DHRS4 & DHRS4L1 & DHRS4L2 & EMC9 & FITM1 & IRF9 & MIR7703 & NRL & PCK2 & PSME1 & PSME2 & RNF31","123"
"chr13",64747965,10.3888,"LINC00355","324"
"chr17",30241409,10.3881,"COPRS & LRRC37B & SUZ12 & UTP6","152"
"chr8",98162818,10.3732,"CPQ & LOC101927066","491"
"chr15",85453894,10.3732,"ALPK3 & PDE8A & SLC28A1","428"
"chr5",80503567,10.3721,"CKMT2 & CKMT2-AS1 & RASGRF2 & RNU5D-1 & RNU5E-1 & ZCCHC9","403"
"chr8",3455844,10.3666,"CSMD1","18"
"chr7",45250903,10.365,"RAMP3 & TBRG4","227"
"chr2",135276950,10.3634,"MGAT5 & TMEM163","677"
"chr14",25323593,10.3623,"STXBP6","127"
"chr4",127653830,10.3601,"NONAME","639"
"chr5",132859945,10.3581,"FSTL4 & MIR1289-2","665"
"chr4",69588200,10.358,"UGT2B10 & UGT2B15","348"
"chr1",208559656,10.3494,"NONAME","1043"
"chr1",175388626,10.3468,"TNR","877"
"chr20",5646756,10.344,"GPCPD1 & SHLD1","29"
"chr8",26160743,10.3435,"BNIP3L & PPP2R2A & SDAD1P1","131"
"chr9",124671402,10.3431,"TTLL11","624"
"chr4",183798517,10.3424,"DCTD & TENM3","919"
"chr12",126451804,10.3398,"LINC00939","633"
"chr6",71687511,10.3385,"B3GAT2","359"
"chr5",141408439,10.3385,"DELE1 & GNPDA1 & NDFIP1 & PCDH12 & RNF14","708"
"chr5",78788648,10.3299,"HOMER1","394"
"chr6",170584403,10.3293,"DLL1 & FAM120B & LINC01624 & LOC154449 & LOC285804 & MIR4644","853"
"chr5",146638648,10.3256,"STK32A & STK32A-AS1","734"
"chr14",46183122,10.3249,"LINC02303","231"
"chr17",33508631,10.3156,"FNDC8 & NLE1 & RAD51D & RAD51L3-RFFL & RFFL & SLC35G3 & SLFN5 & UNC45B","168"
"chr3",59323598,10.3143,"NONAME","297"
"chr1",176406553,10.3081,"PAPPA2","883"
"chr15",65759743,10.3045,"DPP8 & HACD3 & IGDCC3 & IGDCC4","329"
"chr1",184228615,10.3045,"NONAME","922"
"chr14",89644617,10.3044,"FOXN3","449"
"chr4",92267558,10.3017,"CCSER1","462"
"chr11",128303735,10.2996,"ETS1 & ETS1-AS1 & MIR6090","642"
"chr9",35481412,10.2993,"ATP8B5P & FAM166B & RUSC2 & UNC13B","178"
"chr2",281741,10.2987,"ACP1 & ALKAL2 & LINC01865 & SH3YL1","2"
"chr13",98550871,10.2965,"IPO5","493"
"chr14",62750202,10.2964,"NONAME","314"
"chr6",157226386,10.291,"ARID1B","787"
"chr10",73078447,10.2903,"CDH23 & SLC29A3 & UNC5B","366"
"chr7",147317086,10.2894,"CNTNAP2 & LOC105375556","737"
"chr4",73836294,10.2892,"COX18","370"
"chr20",57673232,10.2881,"ATP5F1E & CTSZ & PRELID3B & SLMO2-ATP5E & TUBB1 & ZNF831","289"
"chr3",182446909,10.2755,"ATP11B","913"
"chr4",69634175,10.2674,"UGT2B10 & UGT2B15","349"
"chr3",72211116,10.2657,"LINC00870 & LINC00877","362"
"chr12",9378113,10.2657,"A2MP1 & LINC00987 & LOC642846 & MIR1244-1 & MIR1244-2 & MIR1244-3 & MIR1244-4 & PZP","47"
"chr11",96481202,10.2657,"NONAME","483"
"chr15",49810552,10.265,"FAM227B & FGF7","250"
"chr5",36437654,10.2646,"NONAME","183"
"chr11",95416248,10.2639,"FAM76B","478"
"chr2",162961929,10.2603,"DPP4 & FAP & GCG & LOC100131604 & LOC101929532","815"
"chr18",22419281,10.2549,"LINC01894 & LOC105372028","113"
"chr7",28905812,10.2538,"CREB5 & TRIL","145"
"chr9",7104271,10.2515,"KDM4C","36"
"chr6",55681052,10.2515,"BMP5","279"
"chr18",12015915,10.2515,"ANKRD62 & IMPA2","61"
"chr4",48129763,10.2455,"NIPAL1 & TEC & TXK","241"
"chr2",32502507,10.2412,"BIRC6 & NLRC4 & SLC30A6 & YIPF4","163"
"chr10",27271427,10.2412,"ANKRD26 & FAM238C","137"
"chr20",44337686,10.231,"DNTTIP1 & MIR3617 & SPINT4 & WFDC10A & WFDC10B & WFDC11 & WFDC13 & WFDC3 & WFDC9","222"
"chr4",166800215,10.2295,"TLL1","835"
"chr13",76470359,10.2268,"LINC00561 & LMO7 & LMO7DN & LMO7DN-IT1","383"
"chr17",30598128,10.2228,"C17orf75 & MIR632 & RHBDL3 & RHOT1 & ZNF207","153"
"chr6",90723906,10.2182,"BACH2","454"
"chr7",133818845,10.2178,"EXOC4 & LRGUK","670"
"chr3",29723836,10.216,"RBMS3","149"
"chr9",22848158,10.2015,"LINC01239","115"
"chr5",72967773,10.2015,"ARHGEF28 & UTP15","365"
"chr15",87788472,10.1945,"NONAME","439"
"chr19",41807845,10.1878,"AXL & B9D2 & BCKDHA & CCDC97 & CYP2S1 & EXOSC5 & HNRNPUL1 & TGFB1 & TMEM91","210"
"chr3",97339649,10.1829,"EPHA6","487"
"chr20",50201439,10.181,"ATP9A & NFATC2","252"
"chr18",63670824,10.1808,"NONAME","319"
"chr2",72272773,10.1802,"CYP26B1","362"
"chr13",54824159,10.1786,"MIR1297","275"
"chr3",107375421,10.1779,"BBX","537"
"chr19",45022672,10.1773,"CEACAM20 & CEACAM22P & IGSF23 & ZNF180 & ZNF229","226"
"chr4",15184396,10.1727,"LOC101929095","76"
"chr6",137901303,10.1677,"LOC102723649 & OLIG3","690"
"chr13",30847064,10.1667,"KATNAL1 & LINC00426","155"
"chr1",43692983,10.1655,"C1orf210 & CFAP57 & EBNA1BP2 & FAM183A & MIR6733 & TIE1 & TMEM125","219"
"chr1",199324641,10.162,"LOC400800","997"
"chr12",16202521,10.1585,"DERA","82"
"chr13",50984522,10.1565,"DLEU1","255"
"chr2",235956000,10.1507,"SH3BP4","1180"
"chr20",44534651,10.1506,"ACOT8 & CTSA & DNTTIP1 & NEURL2 & PCIF1 & PLTP & SNX21 & SPATA25 & TNNC2 & UBE2C & ZNF335 & ZSWIM1 & ZSWIM3","223"
"chr11",36114176,10.1455,"LDLRAD3 & LOC101928510 & MIR3973","181"
"chr2",56122898,10.1451,"EFEMP1 & MIR216A & MIR217 & MIR217HG","281"
"chr21",40040750,10.1373,"ERG & LINC00114","201"
"chr11",103723174,10.1359,"MIR4693 & PDGFD","519"
"chr1",239328858,10.1322,"NONAME","1197"
"chr4",130650832,10.128,"LINC02465 & LINC02466","654"
"chr4",184470393,10.1268,"ING2 & LOC389247 & RWDD4","923"
"chr1",81205625,10.1251,"LINC01781","407"
"chr1",237342647,10.1188,"RYR2","1187"
"chr4",60156561,10.1094,"NONAME","301"
"chr12",5750109,10.0993,"ANO2","29"
"chr4",102643156,10.0988,"BANK1","514"
"chr6",153580542,10.0954,"NONAME","768"
"chr9",83000495,10.0953,"NONAME","416"
"chr9",12212403,10.0889,"NONAME","62"
"chr6",1246158,10.0817,"FOXQ1","7"
"chr2",181000966,10.0781,"NONAME","906"
"chr2",180995334,10.0781,"NONAME","905"
"chr3",30567666,10.078,"LINC01985 & TGFBR2","153"
"chr10",103044154,10.0765,"BTRC & LBX1 & LBX1-AS1 & LINC01514 & LOC101927419","516"
"chr19",13622741,10.0718,"CACNA1A","69"
"chr6",111012332,10.0666,"CDK19","556"
"chr5",164221582,10.0664,"NONAME","822"
"chr1",16339419,10.0636,"CLCNKA & CLCNKB & FAM131C & HSPB7 & SPEN & SRARP & ZBTB17","82"
"chr10",34546069,10.0604,"PARD3","173"
"chr5",145902631,10.0599,"GPR151 & PPP2R2B & TCERG1","730"
"chr14",48345339,10.0598,"LINC00648","242"
"chr2",30620721,10.0407,"LCLAT1 & LINC01936","154"
"chr20",51678536,10.0393,"TSHZ2","259"
"chr1",57852859,10.0382,"DAB1","290"
"chr13",96300448,10.0356,"CLDN10 & DNAJC3 & DNAJC3-DT & DZIP1","482"
"chr10",2094839,10.033,"LINC00700 & MIR6072","11"
"chr7",46049467,10.0313,"IGFBP3","231"
"chr22",49149667,10.026,"FAM19A5 & MIR4535","246"
"chr4",74103909,10.0251,"ANKRD17","371"
"chr19",53918252,10.0217,"TPM3P9 & ZNF525 & ZNF761 & ZNF765 & ZNF765-ZNF761 & ZNF813 & ZNF845","270"
"chr13",96720401,10.0182,"HS6ST3 & UGGT2","484"
"chr7",13278706,10.015,"NONAME","67"
"chr8",32433166,10.0126,"NRG1","163"
"chr1",87221151,10.0098,"CLCA4-AS1 & SH3GLB1","437"
"chr11",107521280,10.0085,"ALKBH8 & ELMOD1 & SLN","538"
"chr6",6873401,9.99814,"NONAME","35"
"chr18",50207167,9.99765,"DCC","252"
"chr6",68494097,9.99623,"NONAME","343"
"chr10",123274062,9.99623,"FGFR2","617"
"chr16",86073003,9.99488,"NONAME","431"
"chr6",56072269,9.99404,"COL21A1","281"
"chr10",123802122,9.99164,"ATE1-AS1 & NSMCE4A & TACC2","620"
"chr22",41163753,9.9904,"DNAJB7 & MCHR1 & MIR4766 & SLC25A17 & ST13 & XPNPEP3","206"
"chr16",74745663,9.9904,"FA2H & MLKL & RFWD3","374"
"chr15",84502549,9.98991,"ADAMTSL3","423"
"chr2",41367404,9.98688,"NONAME","207"
"chr16",61486933,9.98654,"NONAME","308"
"chr4",126748220,9.98615,"NONAME","634"
"chr2",230039041,9.983,"PID1","1151"
"chr1",195443818,9.981,"NONAME","978"
"chr9",140972327,9.97951,"CACNA1B & LOC101928786 & TUBBP5","705"
"chr3",192596458,9.97951,"MB21D2","963"
"chr12",3868168,9.97951,"CRACR2A & PARP11","20"
"chr2",7217423,9.97932,"LOC101929452 & RNF144A","37"
"chr7",133339343,9.97706,"EXOC4","667"
"chr4",32595344,9.97706,"NONAME","163"
"chr2",153831780,9.97333,"NONAME","770"
"chr5",59345225,9.97257,"PDE4D","297"
"chr7",126586470,9.97047,"GRM8","633"
"chr10",23478374,9.97047,"C10orf67 & MSRB2 & PTF1A","118"
"chr6",18754423,9.9699,"MIR548A1HG","94"
"chr19",51430436,9.9693,"KLK10 & KLK11 & KLK15 & KLK2 & KLK3 & KLK4 & KLK5 & KLK6 & KLK7 & KLK8 & KLK9 & KLKP1 & LOC105372441","258"
"chr1",74693161,9.96898,"FPGT & FPGT-TNNI3K & LRRIQ3 & TNNI3K","374"
"chr22",45314246,9.96701,"ARHGAP8 & LOC101927551 & PHF21B & PRR5-ARHGAP8","227"
"chr18",53167729,9.96701,"MIR4529 & TCF4 & TCF4-AS1","266"
"chr13",63980238,9.96159,"LINC00376","320"
"chr4",86798882,9.96157,"ARHGAP24","434"
"chr16",13001115,9.96024,"SHISA9","66"
"chr1",77922881,9.9495,"AK5","390"
"chr3",121815461,9.9476,"CASR & CD86 & ILDR1","610"
"chr22",48853277,9.9476,"FAM19A5 & LOC284933","245"
"chr11",71726785,9.94578,"ANAPC15 & IL18BP & LAMTOR1 & LOC100128494 & LOC100133315 & LRTOMT & MIR3165 & NUMA1 & RNF121","359"
"chr1",56770906,9.94287,"NONAME","284"
"chr2",223108791,9.94178,"CCDC140 & LOC440934 & PAX3","1116"
"chr5",157401101,9.92818,"NONAME","788"
"chr6",41694773,9.92515,"FRS3 & MDFI & PGC & PRICKLE4 & TFEB & TOMM6 & USP49","209"
"chr16",13889007,9.92515,"NONAME","70"
"chr1",207880683,9.92435,"CD46 & CR1 & CR1L & MIR29B2 & MIR29B2CHG & MIR29C","1040"
"chr1",17523235,9.924,"LOC400743 & MIR3972 & PADI1 & PADI2 & PADI3","88"
"chr4",133147914,9.91698,"NONAME","666"
"chr16",74401675,9.91372,"CLEC18B & GLG1 & LOC105376772 & LOC283922 & NPIPB15 & PSMD7","373"
"chr13",36082762,9.91372,"MAB21L1 & NBEA","181"
"chr5",102960531,9.91367,"LINC02115 & NUDT12","515"
"chr8",91409137,9.91349,"LINC00534","458"
"chr9",8792805,9.9118,"PTPRD & PTPRD-AS1","44"
"chr14",61872240,9.90768,"PRKCH","310"
"chr9",36999369,9.89932,"EBLN3P & PAX5","185"
"chr2",206356314,9.89932,"PARD3B","1032"
"chr2",207809226,9.8906,"CPO","1040"
"chr1",41895497,9.8906,"EDN2 & FOXO6 & HIVEP3 & LOC101929901","210"
"chr10",130347522,9.88144,"NONAME","652"
"chr10",59186295,9.87824,"NONAME","296"
"chr7",22640389,9.87615,"LOC100506178 & LOC401312","114"
"chr15",34362408,9.87314,"AVEN & CHRM5 & EMC7 & KATNBL1 & PGBD4","172"
"chr16",66081266,9.87096,"NONAME","331"
"chr10",78718836,9.87019,"KCNMA1 & KCNMA1-AS1","394"
"chr10",61206155,9.86973,"FAM13C","307"
"chr1",79260050,9.8673,"ADGRL4","397"
"chr11",103877648,9.86187,"DDI1 & PDGFD","520"
"chr8",867233,9.85956,"DLGAP2","5"
"chr18",35536507,9.85411,"NONAME","178"
"chr4",103102314,9.8529,"SLC39A8","516"
"chr5",159335852,9.85285,"ADRA1B & LINC01847","797"
"chr2",58825311,9.85172,"LINC01122","295"
"chr8",108663112,9.85123,"NONAME","544"
"chr18",71431929,9.8473,"NONAME","358"
"chr19",58573083,9.84712,"C19orf18 & LOC100128398 & ZNF135 & ZNF329 & ZNF606 & ZSCAN1 & ZSCAN18","293"
"chr19",18509526,9.84371,"ELL & GDF15 & ISYNA1 & LRRC25 & LSM4 & MIR3189 & PGPEP1 & SSBP4","93"
"chr5",161444006,9.84091,"GABRG2 & LINC01202","808"
"chr9",37000687,9.83174,"EBLN3P & PAX5","186"
"chr11",2247267,9.82378,"ASCL2 & C11orf21 & IGF2 & IGF2-AS & INS & INS-IGF2 & MIR4686 & MIR483 & TH & TSPAN32","12"
"chr5",172972358,9.8173,"BOD1 & LOC285593","865"
"chr1",239500705,9.81512,"CHRM3","1198"
"chr1",13832617,9.80247,"LRRC38 & PDPN & PRAMEF20","70"
"chr6",54228413,9.80246,"MLIP & TINAG","272"
"chr3",107523913,9.79906,"BBX & LINC00635 & LINC00636","538"
"chr16",64469366,9.79723,"NONAME","323"
"chr21",27054060,9.79284,"ATP5PF & GABPA & JAM2 & LINC00515 & MRPL39","136"
"chr2",214813597,9.79284,"SPAG16","1075"
"chr8",20738519,9.78754,"LINC02153 & LOC102467222","104"
"chr8",135611553,9.78669,"ZFAT & ZFAT-AS1","679"
"chr1",72401521,9.78066,"NEGR1 & NEGR1-IT1","363"
"chr1",72393048,9.78066,"NEGR1 & NEGR1-IT1","362"
"chr18",53234728,9.78026,"MIR4529 & TCF4 & TCF4-AS1","267"
"chr8",27578676,9.77651,"CCDC25 & ESCO2 & MIR3622A & MIR3622B & PBK & SCARA3","138"
"chr3",65089136,9.77651,"ADAMTS9-AS2","326"
"chr16",86228073,9.77632,"LINC01081 & LINC01082 & LINC02135","432"
"chr9",4246688,9.77535,"GLIS3","22"
"chr11",80516382,9.76996,"LOC101928944","403"
"chr2",16547645,9.76903,"NONAME","83"
"chr22",45881554,9.76843,"FBLN1 & RIBC2 & SMC1B","230"
"chr11",101000370,9.76775,"PGR & PGR-AS1","506"
"chr1",173051406,9.76624,"TNFSF18","866"
"chr1",90063613,9.76519,"LRRC8B & LRRC8C & LRRC8C-DT","451"
"chr2",228808819,9.76291,"DAW1 & SPHKAP","1145"
"chr2",209991699,9.7582,"NONAME","1050"
"chr3",66331579,9.75591,"LRIG1 & SLC25A26","332"
"chr20",50502683,9.75591,"LINC01429 & SALL4","253"
"chr17",77103261,9.7456,"C1QTNF1 & C1QTNF1-AS1 & CANT1 & ENGASE & RBFOX3","386"
"chr14",47466134,9.74419,"MDGA2","238"
"chr7",15708650,9.74009,"LINC02587 & LOC105375166 & MEOX2","79"
"chr6",163330547,9.74009,"PACRG","817"
"chr15",33492669,9.73175,"FMN1 & TMCO5B","168"
"chr11",103140936,9.73171,"DYNC2H1","516"
"chr2",174490915,9.73156,"NONAME","873"
"chr18",13175481,9.73072,"C18orf15 & CEP192 & LDLRAD4","66"
"chr9",3574470,9.7255,"RFX3 & RFX3-AS1","18"
"chr19",53415761,9.7255,"ZNF28 & ZNF320 & ZNF321P & ZNF468 & ZNF702P & ZNF816 & ZNF816-ZNF321P & ZNF888","268"
"chr8",39793368,9.72517,"ADAM2 & IDO1 & IDO2","199"
"chr8",120021840,9.72517,"COLEC10 & LOC101927513 & TNFRSF11B","601"
"chr5",154488081,9.72517,"KIF4B","773"
"chr15",22980684,9.72517,"CYFIP1 & NIPA1 & NIPA2 & TUBGCP5","115"
"chr1",12212385,9.72517,"MIR4632 & MIR7846 & TNFRSF1B & TNFRSF8 & VPS13D","62"
"chr6",161824910,9.7235,"LOC105378098 & PRKN","810"
"chr3",9922949,9.71903,"ARPC4 & ARPC4-TTLL3 & CIDEC & CRELD1 & EMC3 & IL17RC & IL17RE & JAGN1 & PRRT3 & PRRT3-AS1 & RPUSD3 & TADA3 & TTLL3","50"
"chr9",140473388,9.71833,"ARRDC1 & ARRDC1-AS1 & DPH7 & EHMT1 & MRPL41 & PNPLA7 & ZMYND19","703"
"chr8",32307635,9.71587,"NRG1 & NRG1-IT3","162"
"chr1",61410707,9.71476,"NFIA-AS2","308"
"chr9",103338012,9.71439,"CAVIN4 & MSANTD3-TMEFF1 & TMEFF1","517"
"chr15",25165844,9.71439,"PWAR5 & PWARSN & SNHG14 & SNORD107 & SNORD108 & SNORD64 & SNRPN & SNURF","126"
"chr11",83479572,9.71439,"DLG2","418"
"chr5",148783268,9.70714,"AFAP1L1 & CARMN & CSNK1A1 & GRPEL2 & GRPEL2-AS1 & IL17B & MIR143 & MIR145 & PCYOX1L","744"
"chr15",60423980,9.70152,"NONAME","303"
"chr3",9214060,9.70039,"SRGAP3 & SRGAP3-AS2 & SRGAP3-AS3 & SRGAP3-AS4","47"
"chr3",117826353,9.70032,"NONAME","590"
"chr10",50003569,9.69997,"WDFY4","251"
"chr13",91097371,9.69651,"LINC01049","456"
"chr5",145285158,9.69212,"GRXCR2 & PRELID2 & SH3RF2","727"
"chr8",24208606,9.69203,"ADAM28 & ADAM7 & ADAMDEC1 & LOC101929294","122"
"chr19",53110201,9.68818,"ZNF137P & ZNF578 & ZNF611 & ZNF701 & ZNF808 & ZNF83","266"
"chr3",71982068,9.68444,"NONAME","360"
"chr14",82955452,9.68444,"NONAME","415"
"chr15",52225041,9.67636,"LEO1 & LOC100422556 & MAPK6 & MAPK6-DT & TMOD3","262"
"chr13",64536072,9.67636,"LINC00355","323"
"chr5",8473775,9.6755,"LINC02226 & MIR4458 & MIR4458HG","43"
"chr17",35731855,9.67502,"ACACA & C17orf78 & TADA2A","179"
"chr13",108015445,9.67421,"FAM155A & SNORD31B","541"
"chr7",133054712,9.67053,"EXOC4 & MIR6133","666"
"chr13",42159202,9.67053,"MIR5006 & VWA8","211"
"chr17",66176080,9.66983,"AMZ2 & ARHGAP27P2 & ARSG & LINC00674 & SLC16A6","331"
"chr18",13253794,9.65849,"C18orf15 & LDLRAD4","67"
"chr4",86825599,9.65246,"ARHGAP24","435"
"chr3",132878424,9.65116,"TMEM108 & TMEM108-AS1","665"
"chr4",184703567,9.64648,"STOX2 & TRAPPC11","924"
"chr16",24345826,9.64381,"CACNG3 & LINC2194","122"
"chr1",198216990,9.64302,"NEK7","992"
"chr14",21982353,9.64155,"CHD8 & METTL3 & OR10G3 & RAB2B & SALL2 & TOX4","110"
"chr4",132964218,9.63825,"NONAME","665"
"chr4",166435062,9.6362,"CPE","833"
"chr2",192101723,9.63451,"MYO1B & STAT4","961"
"chr14",32461375,9.63451,"ARHGAP5 & ARHGAP5-AS1 & LINC02313","163"
"chr14",107185885,9.63451,"MIR5195","536"
"chr12",113267081,9.63009,"OAS1 & RPH3A","567"
"chr12",121360787,9.62815,"C12orf43 & HNF1A & HNF1A-AS1 & OASL & SPPL3 & XLOC_009911","607"
"chr3",138698474,9.62647,"FOXL2 & FOXL2NB & LINC01391 & PRR23A & PRR23B & PRR23C","694"
"chr18",77143075,9.62453,"ATP9B & NFATC1","386"
"chr9",130811542,9.62303,"FAM102A & NAIF1 & PTGES2 & PTGES2-AS1 & SLC25A25 & SLC25A25-AS1","655"
"chr9",82996128,9.62149,"NONAME","415"
"chr10",106558997,9.61613,"SORCS3","533"
"chr11",9071106,9.61286,"DENND5A & KRT8P41 & MIR5691 & NRIP3 & SCUBE2 & TMEM9B & TMEM9B-AS1","46"
"chr16",89437983,9.61069,"ANKRD11 & LOC100287036 & LOC101927817 & LOC105371414","448"
"chr9",4471287,9.61049,"SLC1A1","23"
"chr9",30607525,9.61049,"NONAME","154"
"chr6",21675060,9.61049,"CASC15 & SOX4","109"
"chr11",128478885,9.61049,"ETS1 & ETS1-AS1 & FLI1 & LOC101929538 & MIR6090 & SENCR","643"
"chr9",129320566,9.61033,"LMX1B & MVB12B","647"
"chr1",198417779,9.60802,"ATP6V1G3","993"
"chr9",33388004,9.60522,"AQP3 & AQP7 & MIR6851 & NFX1 & NOL6","167"
"chr19",50897607,9.60465,"EMC10 & FAM71E1 & KCNC3 & MYBPC2 & MYH14 & NAPSA & NAPSB & NR1H2 & POLD1 & SPIB","255"
"chr18",70532840,9.59856,"LOC100505797 & MIR548AV & NETO1","353"
"chr7",63876334,9.59478,"YWHAEP1 & ZNF736","320"
"chr14",36618086,9.59478,"LINC00609 & PTCSC3","184"
"chr1",19124368,9.59263,"ALDH4A1 & MIR1290 & MIR4695 & PAX7 & TAS1R2","96"
"chr14",77142126,9.59106,"VASH1","386"
"chr14",49580320,9.59059,"NONAME","248"
"chr3",156992583,9.58954,"VEPH1","785"
"chr2",49085304,9.58643,"STON1-GTF2A1L","246"
"chr2",171427361,9.58526,"MYO3B","858"
"chr18",43583205,9.58288,"ATP5F1A & EPG5 & PSTPIP2","218"
"chr17",3635740,9.58221,"CTNS & EMC6 & HASPIN & ITGAE & NCBP3 & P2RX5 & P2RX5-TAX1BP3 & SHPK & TAX1BP3","19"
"chr10",115475623,9.57949,"CASP7 & MIR4483 & NRAP & PLEKHS1","578"
"chr4",25466257,9.57811,"ANAPC4 & LOC101929161 & ZCCHC4","128"
"chr5",99708360,9.57382,"LOC100133050","499"
"chr13",54795314,9.57089,"LINC00458 & MIR1297","274"
"chr7",5935133,9.56866,"CCZ1 & OCM & PMS2 & RSPH10B & RSPH10B2 & ZNF815P","30"
"chr14",78401921,9.56772,"ADCK1","393"
"chr13",63679145,9.56432,"LINC00376","319"
"chr15",55112429,9.56198,"NONAME","276"
"chr16",78540792,9.55965,"WWOX","393"
"chr12",8702494,9.5524,"AICDA & CLEC4D & CLEC4E & CLEC6A & MFAP5","44"
"chr13",20932210,9.53843,"CRYL1 & MIR4499","105"
"chr16",71352756,9.53173,"CALB2 & CMTR2 & HYDIN & LINC02136","357"
"chr1",97673986,9.52346,"DPYD & DPYD-AS1","489"
"chr3",60156189,9.52051,"FHIT","301"
"chr12",79637453,9.5112,"SYT1","399"
"chr3",2462526,9.50275,"CNTN4","13"
"chr5",164918149,9.5021,"NONAME","825"
"chr5",163485881,9.5021,"NONAME","818"
"chr4",101191158,9.5021,"DDIT4L & LOC101929353","506"
"chr14",51870661,9.5021,"FRMD6 & FRMD6-AS2 & LINC00519 & LINC00640 & LINC02310","260"
"chr1",2813233,9.5021,"TTC34","15"
"chr4",79835022,9.49584,"BMP2K & LINC01088 & PAQR3","400"
"chr9",35654277,9.49044,"ARHGEF39 & CA9 & CCDC107 & CD72 & CREB3 & FAM166B & GBA2 & LOC101926948 & MIR4667 & MIR6852 & MIR6853 & MSMP & RGP1 & RMRP & RUSC2 & SIT1 & TESK1 & TLN1 & TPM2","179"
"chr3",6110511,9.49044,"NONAME","31"
"chr4",92610423,9.48802,"CCSER1","464"
"chr17",2133571,9.47977,"LOC101927839 & SMG6 & SNORD91B & SRR & TSR1","11"
"chr8",60177047,9.47511,"NONAME","301"
"chr15",93923553,9.47511,"NONAME","470"
"chr12",113517494,9.47428,"CFAP73 & DDX54 & DTX1 & MIR7106 & OAS2 & RASAL1","568"
"chr11",13019218,9.47227,"LINC00958 & RASSF10 & TEAD1","66"
"chr6",18287564,9.46628,"DEK & KDM1B","92"
"chr2",192865778,9.4606,"TMEFF2","965"
"chr8",134844883,9.45175,"LOC101927798 & LOC101927822","675"
"chr4",117520775,9.45162,"NONAME","588"
"chr11",16187609,9.45162,"SOX6","81"
"chr8",25245312,9.45102,"CDCA2 & DOCK5 & GNRH1 & KCTD9 & MIR6876","127"
"chr14",38231946,9.44698,"TTC6","192"
"chr11",24389328,9.44303,"NONAME","122"
"chr4",101859226,9.43855,"PPP3CA","510"
"chr21",16403394,9.43211,"NRIP1","83"
"chr2",184347302,9.42911,"NONAME","922"
"chr10",135112376,9.42479,"ADAM8 & CALY & ECHS1 & FUOM & KNDC1 & MIR202 & MIR202HG & MIR3944 & MTG1 & PAOX & PRAP1 & TUBGCP2 & UTF1 & VENTX & ZNF511","676"
"chr9",4135650,9.42419,"GLIS3","21"
"chr7",14945615,9.42419,"DGKB","75"
"chr5",79411443,9.42419,"CTD-2201I18.1 & SERINC5 & THBS4","398"
"chr20",6397288,9.42419,"CASC20","32"
"chr14",22003019,9.42419,"CHD8 & METTL3 & OR10G2 & OR10G3 & RAB2B & SALL2 & TOX4","111"
"chr5",111141492,9.41883,"NREP & STARD4-AS1","556"
"chr13",114202549,9.41584,"ADPRHL1 & DCUN1D2 & TFDP1 & TMCO3","572"
"chr19",44959399,9.41402,"CEACAM20 & CEACAM22P & ZNF112 & ZNF180 & ZNF229 & ZNF285","225"
"chr16",30517090,9.41402,"DCTPP1 & ITGAL & MIR4518 & SEPHS2 & SNORA80C & ZNF688 & ZNF689 & ZNF747 & ZNF764 & ZNF768 & ZNF771 & ZNF785","153"
"chr12",46063580,9.41381,"ARID2 & LINC00938","231"
"chr11",8302492,9.41172,"LMO1","42"
"chr17",35195530,9.40981,"LHX1 & LHX1-DT","176"
"chr1",88129038,9.40981,"NONAME","441"
"chr3",21367007,9.40749,"VENTXP7 & ZNF385D","107"
"chr12",1768796,9.40587,"ADIPOR2 & FBXL14 & MIR3649 & WNT5B","9"
"chr10",46206763,9.40566,"WASHC2C & ZFAND4","232"
"chr5",164610621,9.4017,"NONAME","824"
"chr11",16216688,9.4017,"SOX6","82"
"chr8",98357081,9.39461,"LOC101927066 & SNORD3H & TSPYL5","492"
"chr2",47020976,9.3833,"LINC01118 & LINC01119 & SOCS5","236"
"chr16",5125879,9.38278,"ALG1 & C16orf89 & EEF2KMT & NAGPA & NAGPA-AS1 & SEC14L5","26"
"chr7",98154353,9.37902,"NPTX2","491"
"chr20",52882815,9.37887,"CYP24A1 & PFDN4","265"
"chr7",31543482,9.37329,"ITPRID1","158"
"chr2",200618356,9.37176,"FTCDNL1 & LINC01877","1004"
"chr6",17391393,9.36841,"CAP2 & RBM24","87"
"chr11",24191827,9.36484,"NONAME","121"
"chr2",210122736,9.36415,"NONAME","1051"
"chr20",6133562,9.35824,"FERMT1 & LRRN4","31"
"chr19",41256712,9.35824,"C19orf54 & COQ8B & CYP2A6 & CYP2T1P & EGLN2 & ITPKC & MIA & MIA-RAB4B & NUMBL & RAB4B & RAB4B-EGLN2 & SNRPA","207"
"chr5",150649006,9.35789,"CCDC69 & GM2A & SLC36A2 & SLC36A3","754"
"chr4",170793323,9.35762,"LINC02275","854"
"chr4",118382057,9.35692,"LINC01378 & LINC02263","592"
"chr5",176000821,9.35384,"CDHR2 & EIF4E1B & FAF2 & GPRIN1 & MIR4281 & RNF44 & SNCB & TSPAN17","881"
"chr15",36684251,9.35384,"NONAME","184"
