ensembl_gene_id,chromosome_name,start_position,end_position,from_position,to_position,length
ENSG00000174606,1,212992182,213015867,chr1:212992182,chr1:213015867,23685
ENSG00000174721,10,91906584,91909486,chr10:91906584,chr10:91909486,2902
ENSG00000174886,19,5891276,5904006,chr19:5891276,chr19:5904006,12730
ENSG00000175040,3,143119771,143124014,chr3:143119771,chr3:143124014,4243
ENSG00000175054,3,142449007,142578733,chr3:142449007,chr3:142578733,129726
ENSG00000175104,11,36483769,36510272,chr11:36483769,chr11:36510272,26503
ENSG00000175197,12,57516588,57521737,chr12:57516588,chr12:57521737,5149
ENSG00000175322,18,14057457,14132490,chr18:14057457,chr18:14132490,75033
ENSG00000175455,3,123897305,123961408,chr3:123897305,chr3:123961408,64103
ENSG00000175482,11,67350772,67356972,chr11:67350772,chr11:67356972,6200
ENSG00000175727,12,122078756,122147344,chr12:122078756,chr12:122147344,68588
ENSG00000175893,9,14611071,14693471,chr9:14611071,chr9:14693471,82400
ENSG00000176024,19,51927147,51948759,chr19:51927147,chr19:51948759,21612
ENSG00000176076,X,109623700,109625172,chrX:109623700,chrX:109625172,1472
ENSG00000176102,11,33077188,33162371,chr11:33077188,chr11:33162371,85183
ENSG00000176155,17,82101460,82212830,chr17:82101460,chr17:82212830,111370
ENSG00000176809,17,64854312,64919480,chr17:64854312,chr17:64919480,65168
ENSG00000176845,17,83079609,83095122,chr17:83079609,chr17:83095122,15513
ENSG00000176896,X,13653189,13681964,chrX:13653189,chrX:13681964,28775
ENSG00000177058,5,55625845,55773194,chr5:55625845,chr5:55773194,147349
ENSG00000177096,22,42074248,42079438,chr22:42074248,chr22:42079438,5190
ENSG00000177169,12,131894622,131923150,chr12:131894622,chr12:131923150,28528
ENSG00000177200,16,53055033,53329150,chr16:53055033,chr16:53329150,274117
ENSG00000177239,9,137086985,137109183,chr9:137086985,chr9:137109183,22198
ENSG00000177370,17,997129,1003671,chr17:997129,chr17:1003671,6542
ENSG00000177485,X,120250752,120258398,chrX:120250752,chrX:120258398,7646
ENSG00000177548,16,28904421,28936526,chr16:28904421,chr16:28936526,32105
ENSG00000177602,17,3723903,3726699,chr17:3723903,chr17:3726699,2796
ENSG00000177889,12,93405673,93441947,chr12:93405673,chr12:93441947,36274
ENSG00000177981,12,48147789,48181213,chr12:48147789,chr12:48181213,33424
ENSG00000178177,4,17841199,18021876,chr4:17841199,chr4:18021876,180677
ENSG00000178567,3,36985043,36993131,chr3:36985043,chr3:36993131,8088
ENSG00000179094,17,8140472,8156506,chr17:8140472,chr17:8156506,16034
ENSG00000179151,15,74630558,74696292,chr15:74630558,chr15:74696292,65734
ENSG00000179454,14,44924319,45042322,chr14:44924319,chr14:45042322,118003
ENSG00000179761,17,28950513,29057216,chr17:28950513,chr17:29057216,106703
ENSG00000179832,8,144148016,144261940,chr8:144148016,chr8:144261940,113924
ENSG00000180008,14,55027230,55049489,chr14:55027230,chr14:55049489,22259
ENSG00000180011,18,75195113,75209139,chr18:75195113,chr18:75209139,14026
ENSG00000180071,9,38571358,38620596,chr9:38571358,chr9:38620596,49238
ENSG00000180316,6,36243203,36312229,chr6:36243203,chr6:36312229,69026
ENSG00000180509,21,34446688,34512210,chr21:34446688,chr21:34512210,65522
ENSG00000180626,17,5179535,5191868,chr17:5179535,chr17:5191868,12333
ENSG00000180884,19,34956354,34964229,chr19:34956354,chr19:34964229,7875
ENSG00000181135,8,143684452,143713898,chr8:143684452,chr8:143713898,29446
ENSG00000181191,X,69160851,69165793,chrX:69160851,chrX:69165793,4942
ENSG00000181744,3,143971798,144048719,chr3:143971798,chr3:144048719,76921
ENSG00000181817,1,36391238,36397908,chr1:36391238,chr1:36397908,6670
ENSG00000181915,10,62804720,62808479,chr10:62804720,chr10:62808479,3759
ENSG00000182185,14,67819779,68730218,chr14:67819779,chr14:68730218,910439
ENSG00000182195,X,141111605,141177129,chrX:141111605,chrX:141177129,65524
ENSG00000182197,8,117794490,118111853,chr8:117794490,chr8:118111853,317363
ENSG00000182511,15,90883695,90895776,chr15:90883695,chr15:90895776,12081
ENSG00000182575,17,49575858,49583827,chr17:49575858,chr17:49583827,7969
ENSG00000182670,21,37073226,37203112,chr21:37073226,chr21:37203112,129886
ENSG00000182810,16,68021274,68023442,chr16:68021274,chr16:68023442,2168
ENSG00000183020,11,924894,1012245,chr11:924894,chr11:1012245,87351
ENSG00000183087,13,113820549,113864076,chr13:113820549,chr13:113864076,43527
ENSG00000183117,8,2935353,4994972,chr8:2935353,chr8:4994972,2059619
ENSG00000183137,6,109095110,109163932,chr6:109095110,chr6:109163932,68822
ENSG00000183690,X,44147872,44343672,chrX:44147872,chrX:44343672,195800
ENSG00000183808,8,93729356,93741017,chr8:93729356,chr8:93741017,11661
ENSG00000184271,12,51186936,51217708,chr12:51186936,chr12:51217708,30772
ENSG00000184434,9,26993136,27005672,chr9:26993136,chr9:27005672,12536
ENSG00000184659,9,65736555,65738784,chr9:65736555,chr9:65738784,2229
ENSG00000184916,14,105140982,105168824,chr14:105140982,chr14:105168824,27842
ENSG00000184939,16,68530090,68576072,chr16:68530090,chr16:68576072,45982
ENSG00000185009,10,74120255,74151063,chr10:74120255,chr10:74151063,30808
ENSG00000185246,14,45084107,45116282,chr14:45084107,chr14:45116282,32175
ENSG00000185305,5,53883942,54310582,chr5:53883942,chr5:54310582,426640
ENSG00000185404,2,230327184,230403732,chr2:230327184,chr2:230403732,76548
ENSG00000185621,3,197960200,198043720,chr3:197960200,chr3:198043720,83520
ENSG00000185658,21,39184176,39321559,chr21:39184176,chr21:39321559,137383
ENSG00000185669,16,88677688,88686507,chr16:88677688,chr16:88686507,8819
ENSG00000185716,16,22007638,22087534,chr16:22007638,chr16:22087534,79896
ENSG00000186049,12,52607570,52618559,chr12:52607570,chr12:52618559,10989
ENSG00000186105,5,62578819,62581446,chr5:62578819,chr5:62581446,2627
ENSG00000186132,2,119302225,119366834,chr2:119302225,chr2:119366834,64609
ENSG00000186265,3,112463966,112499472,chr3:112463966,chr3:112499472,35506
ENSG00000186376,X,135248920,135344109,chrX:135248920,chrX:135344109,95189
ENSG00000186395,17,40818117,40822614,chr17:40818117,chr17:40822614,4497
ENSG00000186409,1,42463221,42657190,chr1:42463221,chr1:42657190,193969
ENSG00000187116,19,54307070,54313166,chr19:54307070,chr19:54313166,6096
ENSG00000187775,17,78423697,78577396,chr17:78423697,chr17:78577396,153699
ENSG00000187778,12,49556544,49568145,chr12:49556544,chr12:49568145,11601
ENSG00000187801,1,40450102,40463718,chr1:40450102,chr1:40463718,13616
ENSG00000187994,19,38867830,38878275,chr19:38867830,chr19:38878275,10445
ENSG00000188343,8,93698561,93731527,chr8:93698561,chr8:93731527,32966
ENSG00000188389,2,241849884,241858894,chr2:241849884,chr2:241858894,9010
ENSG00000188452,2,181536672,181680665,chr2:181536672,chr2:181680665,143993
ENSG00000188493,19,40740856,40751553,chr19:40740856,chr19:40751553,10697
ENSG00000188529,1,23964347,23980927,chr1:23964347,chr1:23980927,16580
ENSG00000189077,7,75986831,75994656,chr7:75986831,chr7:75994656,7825
ENSG00000189233,8,28021964,28083936,chr8:28021964,chr8:28083936,61972
ENSG00000189292,2,279558,288851,chr2:279558,chr2:288851,9293
ENSG00000189430,19,54906148,54916140,chr19:54906148,chr19:54916140,9992
ENSG00000196209,20,1470741,1491587,chr20:1470741,chr20:1491587,20846
ENSG00000196267,19,52153864,52171643,chr19:52153864,chr19:52171643,17779
ENSG00000196329,7,150722253,150750033,chr7:150722253,chr7:150750033,27780
ENSG00000196352,1,207321376,207386804,chr1:207321376,chr1:207386804,65428
ENSG00000196358,9,132161676,132244526,chr9:132161676,chr9:132244526,82850
ENSG00000196411,7,100802565,100827523,chr7:100802565,chr7:100827523,24958
ENSG00000196437,19,37411155,37469275,chr19:37411155,chr19:37469275,58120
ENSG00000196440,X,101418287,101533459,chrX:101418287,chrX:101533459,115172
ENSG00000196456,7,150368790,150398630,chr7:150368790,chr7:150398630,29840
ENSG00000196459,X,13712244,13734635,chrX:13712244,chrX:13734635,22391
ENSG00000196465,12,56152256,56159647,chr12:56152256,chr12:56159647,7391
ENSG00000196597,9,96816269,96875623,chr9:96816269,chr9:96875623,59354
ENSG00000196670,5,180847611,180861285,chr5:180847611,chr5:180861285,13674
ENSG00000196678,16,20780193,20900349,chr16:20780193,chr16:20900349,120156
ENSG00000196705,19,21142024,21196053,chr19:21142024,chr19:21196053,54029
ENSG00000196781,9,81583683,81689547,chr9:81583683,chr9:81689547,105864
ENSG00000196782,4,139716753,140154184,chr4:139716753,chr4:140154184,437431
ENSG00000196843,2,96536743,96552634,chr2:96536743,chr2:96552634,15891
ENSG00000196954,11,104942866,104969366,chr11:104942866,chr11:104969366,26500
ENSG00000197008,7,64794388,64833681,chr7:64794388,chr7:64833681,39293
ENSG00000197070,9,137605685,137615360,chr9:137605685,chr9:137615360,9675
ENSG00000197119,14,100291116,100306547,chr14:100291116,chr14:100306547,15431
ENSG00000197275,8,94371960,94475115,chr8:94371960,chr8:94475115,103155
ENSG00000197355,9,137077517,137084539,chr9:137077517,chr9:137084539,7022
ENSG00000197561,19,851014,856247,chr19:851014,chr19:856247,5233
ENSG00000197653,12,123762188,123935720,chr12:123762188,chr12:123935720,173532
ENSG00000197696,15,84655129,84658563,chr15:84655129,chr15:84658563,3434
ENSG00000197713,2,210002565,210022260,chr2:210002565,chr2:210022260,19695
ENSG00000197782,19,40069152,40090938,chr19:40069152,chr19:40090938,21786
ENSG00000197915,1,152212076,152224193,chr1:152212076,chr1:152224193,12117
ENSG00000197951,19,56595264,56626481,chr19:56595264,chr19:56626481,31217
ENSG00000197969,9,77177445,77421537,chr9:77177445,chr9:77421537,244092
ENSG00000198001,12,43758944,43789543,chr12:43758944,chr12:43789543,30599
ENSG00000198053,20,1894167,1940592,chr20:1894167,chr20:1940592,46425
ENSG00000198055,5,177403204,177442901,chr5:177403204,chr5:177442901,39697
ENSG00000198429,19,11887782,11914329,chr19:11887782,chr19:11914329,26547
ENSG00000198520,1,44674692,44725591,chr1:44674692,chr1:44725591,50899
ENSG00000198585,3,131381671,131388830,chr3:131381671,chr3:131388830,7159
ENSG00000198589,4,150264435,151015727,chr4:150264435,chr4:151015727,751292
ENSG00000198624,5,151181052,151224093,chr5:151181052,chr5:151224093,43041
ENSG00000198642,9,21329665,21335404,chr9:21329665,chr9:21335404,5739
ENSG00000198677,5,95461755,95555007,chr5:95461755,chr5:95555007,93252
ENSG00000198689,X,135973841,136047269,chrX:135973841,chrX:136047269,73428
ENSG00000198707,12,88049014,88142088,chr12:88049014,chr12:88142088,93074
ENSG00000198734,1,169511951,169586588,chr1:169511951,chr1:169586588,74637
ENSG00000198743,21,34073578,34106260,chr21:34073578,chr21:34106260,32682
ENSG00000198791,8,17224966,17246878,chr8:17224966,chr8:17246878,21912
ENSG00000198818,6,166319728,166342576,chr6:166319728,chr6:166342576,22848
ENSG00000198840,MT,10059,10404,chrMT:10059,chrMT:10404,345
ENSG00000198862,21,28928144,28992956,chr21:28928144,chr21:28992956,64812
ENSG00000198865,5,42756818,42802439,chr5:42756818,chr5:42802439,45621
ENSG00000198892,1,201888680,201892306,chr1:201888680,chr1:201892306,3626
ENSG00000198933,17,47694081,47712050,chr17:47694081,chr17:47712050,17969
ENSG00000198945,6,130013699,130141449,chr6:130013699,chr6:130141449,127750
ENSG00000203710,1,207496147,207641765,chr1:207496147,chr1:207641765,145618
ENSG00000203747,1,161541759,161550737,chr1:161541759,chr1:161550737,8978
ENSG00000203965,1,63523372,63572693,chr1:63523372,chr1:63572693,49321
ENSG00000204086,X,96883908,96885467,chrX:96883908,chrX:96885467,1559
ENSG00000204172,10,47501854,47523638,chr10:47501854,chr10:47523638,21784
ENSG00000204220,6,33289302,33298401,chr6:33289302,chr6:33298401,9099
ENSG00000204272,X,56729241,56819179,chrX:56729241,chrX:56819179,89938
ENSG00000204301,6,32194843,32224067,chr6:32194843,chr6:32224067,29224
ENSG00000204396,6,31765590,31777328,chr6:31765590,chr6:31777328,11738
ENSG00000204438,6,31661228,31666283,chr6:31661228,chr6:31666283,5055
ENSG00000204472,6,31615217,31617021,chr6:31615217,chr6:31617021,1804
ENSG00000204498,6,31546870,31558829,chr6:31546870,chr6:31558829,11959
ENSG00000204560,6,30653119,30673006,chr6:30653119,chr6:30673006,19887
ENSG00000204564,6,30647039,30653210,chr6:30647039,chr6:30653210,6171
ENSG00000204577,19,54216278,54223506,chr19:54216278,chr19:54223506,7228
ENSG00000204839,8,143566192,143572772,chr8:143566192,chr8:143572772,6580
ENSG00000204983,7,142749468,142753076,chr7:142749468,chr7:142753076,3608
ENSG00000205089,5,132747445,132754403,chr5:132747445,chr5:132754403,6958
ENSG00000205189,8,80485619,80526265,chr8:80485619,chr8:80526265,40646
ENSG00000205593,22,50309030,50327012,chr22:50309030,chr22:50327012,17982
ENSG00000205981,3,180983709,180989774,chr3:180983709,chr3:180989774,6065
ENSG00000206384,3,130560334,130678155,chr3:130560334,chr3:130678155,117821
ENSG00000206530,3,113286930,113441610,chr3:113286930,chr3:113441610,154680
ENSG00000213186,3,160432445,160485773,chr3:160432445,chr3:160485773,53328
ENSG00000213190,1,151060397,151069544,chr1:151060397,chr1:151069544,9147
ENSG00000213516,1,88979456,88992960,chr1:88979456,chr1:88992960,13504
ENSG00000213523,5,140537340,140558252,chr5:140537340,chr5:140558252,20912
ENSG00000213533,3,52836219,52897548,chr3:52836219,chr3:52897548,61329
ENSG00000213648,16,29459889,29464976,chr16:29459889,chr16:29464976,5087
ENSG00000213889,19,45488777,45502510,chr19:45488777,chr19:45502510,13733
ENSG00000213949,5,52787916,52959209,chr5:52787916,chr5:52959209,171293
ENSG00000214226,17,56791913,56838773,chr17:56791913,chr17:56838773,46860
ENSG00000214367,4,2078998,2242276,chr4:2078998,chr4:2242276,163278
ENSG00000214717,X,2486414,2500976,chrX:2486414,chrX:2500976,14562
ENSG00000215251,20,3146519,3159865,chr20:3146519,chr20:3159865,13346
ENSG00000221866,7,132123332,132648688,chr7:132123332,chr7:132648688,525356
ENSG00000223865,6,33075990,33089696,chr6:33075990,chr6:33089696,13706
ENSG00000224383,17,63998351,64004304,chr17:63998351,chr17:64004304,5953
ENSG00000225614,16,88382989,88440757,chr16:88382989,chr16:88440757,57768
ENSG00000225830,10,49454470,49539538,chr10:49454470,chr10:49539538,85068
ENSG00000228486,2,97664217,97703064,chr2:97664217,chr2:97703064,38847
ENSG00000230797,X,21855987,21858740,chrX:21855987,chrX:21858740,2753
ENSG00000232838,20,18137863,18143169,chr20:18137863,chr20:18143169,5306
ENSG00000233822,6,27837760,27865798,chr6:27837760,chr6:27865798,28038
ENSG00000234745,6,31269491,31357188,chr6:31269491,chr6:31357188,87697
ENSG00000235453,9,32551144,32568621,chr9:32551144,chr9:32568621,17477
ENSG00000236334,1,148479824,148483679,chr1:148479824,chr1:148483679,3855
ENSG00000239521,7,100200653,100272232,chr7:100200653,chr7:100272232,71579
ENSG00000240403,19,54850443,54867207,chr19:54850443,chr19:54867207,16764
ENSG00000241404,6,32164595,32168281,chr6:32164595,chr6:32168281,3686
ENSG00000243279,X,49071161,49074002,chrX:49071161,chrX:49074002,2841
ENSG00000243927,21,34073224,34143034,chr21:34073224,chr21:34143034,69810
ENSG00000244462,20,35648925,35664956,chr20:35648925,chr20:35664956,16031
ENSG00000244754,13,32432417,32538885,chr13:32432417,chr13:32538885,106468
ENSG00000248712,11,119189638,119196769,chr11:119189638,chr11:119196769,7131
ENSG00000249624,21,33229901,33297160,chr21:33229901,chr21:33297160,67259
ENSG00000255330,6,127438406,127519001,chr6:127438406,chr6:127519001,80595
ENSG00000255837,12,10996495,10997875,chr12:10996495,chr12:10997875,1380
ENSG00000256771,19,19865882,19894674,chr19:19865882,chr19:19894674,28792
ENSG00000258315,17,7014495,7017525,chr17:7014495,chr17:7017525,3030
ENSG00000258839,16,89912119,89920977,chr16:89912119,chr16:89920977,8858
ENSG00000260238,1,156212982,156243332,chr1:156212982,chr1:156243332,30350
ENSG00000260286,6,24797335,24798917,chr6:24797335,chr6:24798917,1582
ENSG00000260861,20,1540144,1620009,chr20:1540144,chr20:1620009,79865
ENSG00000261609,16,81314966,81380198,chr16:81314966,chr16:81380198,65232
ENSG00000265118,17,31305213,31318831,chr17:31305213,chr17:31318831,13618
ENSG00000267228,18,47108188,47176345,chr18:47108188,chr18:47176345,68157
ENSG00000267385,19,4528427,4540067,chr19:4528427,chr19:4540067,11640
ENSG00000267534,19,10221433,10231331,chr19:10221433,chr19:10231331,9898
ENSG00000267680,19,44094339,44109886,chr19:44094339,chr19:44109886,15547
ENSG00000269313,X,49162564,49168483,chrX:49162564,chrX:49168483,5919
ENSG00000271092,1,95117923,95247225,chr1:95117923,chr1:95247225,129302
ENSG00000272333,19,35717973,35738878,chr19:35717973,chr19:35738878,20905
ENSG00000273899,22,37681673,37693476,chr22:37681673,chr22:37693476,11803
ENSG00000274349,9,66856426,66932141,chr9:66856426,chr9:66932141,75715
ENSG00000274641,6,27893463,27893843,chr6:27893463,chr6:27893843,380
ENSG00000275895,21,6484623,6499261,chr21:6484623,chr21:6499261,14638
ENSG00000276547,5,141397987,141512979,chr5:141397987,chr5:141512979,114992
ENSG00000278535,17,36591879,36600804,chr17:36591879,chr17:36600804,8925
ENSG00000281887,7,150716668,150743646,chr7:150716668,chr7:150743646,26978
ENSG00000283528,7,143639230,143647646,chr7:143639230,chr7:143647646,8416
ENSG00000283761,1,99970011,100083321,chr1:99970011,chr1:100083321,113310
ENSG00000000938,1,27612064,27635185,chr1:27612064,chr1:27635185,23121
ENSG00000003056,12,8940361,8949761,chr12:8940361,chr12:8949761,9400
ENSG00000004468,4,15778275,15853232,chr4:15778275,chr4:15853232,74957
ENSG00000004478,12,2794970,2805423,chr12:2794970,chr12:2805423,10453
ENSG00000005020,7,26667068,26995239,chr7:26667068,chr7:26995239,328171
ENSG00000006432,14,70722526,70809534,chr14:70722526,chr14:70809534,87008
ENSG00000007545,16,1612337,1677908,chr16:1612337,chr16:1677908,65571
ENSG00000008438,19,46019153,46023053,chr19:46019153,chr19:46023053,3900
ENSG00000009335,7,157138916,157269370,chr7:157138916,chr7:157269370,130454
ENSG00000009413,6,111299028,111483715,chr6:111299028,chr6:111483715,184687
ENSG00000009790,1,209756032,209782320,chr1:209756032,chr1:209782320,26288
ENSG00000010244,17,32350117,32381886,chr17:32350117,chr17:32381886,31769
ENSG00000011132,19,3750772,3761692,chr19:3750772,chr19:3761692,10920
ENSG00000011295,17,15999784,16045015,chr17:15999784,chr17:16045015,45231
ENSG00000012211,X,49174802,49186528,chrX:49174802,chrX:49186528,11726
ENSG00000012779,10,45374176,45446119,chr10:45374176,chr10:45446119,71943
ENSG00000013375,6,83161150,83193936,chr6:83161150,chr6:83193936,32786
ENSG00000014257,3,132317369,132368298,chr3:132317369,chr3:132368298,50929
ENSG00000018189,4,70704204,70808619,chr4:70704204,chr4:70808619,104415
ENSG00000021776,15,34851782,34969742,chr15:34851782,chr15:34969742,117960
ENSG00000023318,9,99979185,100099000,chr9:99979185,chr9:100099000,119815
ENSG00000024862,6,138773509,138793319,chr6:138773509,chr6:138793319,19810
ENSG00000026036,20,63659300,63698684,chr20:63659300,chr20:63698684,39384
ENSG00000027001,13,23730189,23889400,chr13:23730189,chr13:23889400,159211
ENSG00000027697,6,137197484,137219449,chr6:137197484,chr6:137219449,21965
ENSG00000028528,15,64094123,64146090,chr15:64094123,chr15:64146090,51967
ENSG00000029993,X,150980509,150990771,chrX:150980509,chrX:150990771,10262
ENSG00000031003,5,137937960,138051961,chr5:137937960,chr5:138051961,114001
ENSG00000032742,13,20567069,20691437,chr13:20567069,chr13:20691437,124368
ENSG00000035664,15,63907036,64072033,chr15:63907036,chr15:64072033,164997
ENSG00000035862,17,78852977,78925387,chr17:78852977,chr17:78925387,72410
ENSG00000037897,12,57768471,57772119,chr12:57768471,chr12:57772119,3648
ENSG00000042088,14,89954939,90044764,chr14:89954939,chr14:90044764,89825
ENSG00000044446,X,18892298,18984114,chrX:18892298,chrX:18984114,91816
ENSG00000046651,X,13734745,13769357,chrX:13734745,chrX:13769357,34612
ENSG00000047932,6,117560269,117602542,chr6:117560269,chr6:117602542,42273
ENSG00000049541,7,74231499,74254458,chr7:74231499,chr7:74254458,22959
ENSG00000050165,11,11956207,12009769,chr11:11956207,chr11:12009769,53562
ENSG00000051009,11,6211335,6234711,chr11:6211335,chr11:6234711,23376
ENSG00000051128,19,18929201,18941261,chr19:18929201,chr19:18941261,12060
ENSG00000051523,16,88643289,88651054,chr16:88643289,chr16:88651054,7765
ENSG00000051620,6,138403531,138422197,chr6:138403531,chr6:138422197,18666
ENSG00000052723,1,114769479,114780685,chr1:114769479,chr1:114780685,11206
ENSG00000054793,20,51596514,51768390,chr20:51596514,chr20:51768390,171876
ENSG00000054967,11,73376399,73397474,chr11:73376399,chr11:73397474,21075
ENSG00000059145,16,1363205,1414751,chr16:1363205,chr16:1414751,51546
ENSG00000059804,12,7919230,7936187,chr12:7919230,chr12:7936187,16957
ENSG00000061273,12,47782722,47833132,chr12:47782722,chr12:47833132,50410
ENSG00000062282,11,75759512,75801535,chr11:75759512,chr11:75801535,42023
ENSG00000062524,15,41503637,41513887,chr15:41503637,chr15:41513887,10250
ENSG00000064309,11,125955796,126063335,chr11:125955796,chr11:126063335,107539
ENSG00000064313,8,119730774,119832841,chr8:119730774,chr8:119832841,102067
ENSG00000064419,7,128954180,129055173,chr7:128954180,chr7:129055173,100993
ENSG00000064703,1,111755245,111768000,chr1:111755245,chr1:111768000,12755
ENSG00000064787,20,53936777,54070594,chr20:53936777,chr20:54070594,133817
ENSG00000064932,19,1107637,1174268,chr19:1107637,chr19:1174268,66631
ENSG00000065457,16,75596981,75623300,chr16:75596981,chr16:75623300,26319
ENSG00000065485,3,123067025,123225227,chr3:123067025,chr3:123225227,158202
ENSG00000065833,6,83210402,83431051,chr6:83210402,chr6:83431051,220649
ENSG00000066336,11,47354860,47378576,chr11:47354860,chr11:47378576,23716
ENSG00000066651,6,125986479,126203817,chr6:125986479,chr6:126203817,217338
ENSG00000067048,Y,12904108,12920478,chrY:12904108,chrY:12920478,16370
ENSG00000067182,12,6328757,6342114,chr12:6328757,chr12:6342114,13357
ENSG00000067365,16,8621683,8649654,chr16:8621683,chr16:8649654,27971
ENSG00000067798,12,77324641,78213010,chr12:77324641,chr12:78213010,888369
ENSG00000068615,2,86213993,86338083,chr2:86213993,chr2:86338083,124090
ENSG00000068650,13,112690329,112887168,chr13:112690329,chr13:112887168,196839
ENSG00000069493,12,9664969,9699553,chr12:9664969,chr12:9699553,34584
ENSG00000069667,15,60488284,61229302,chr15:60488284,chr15:61229302,741018
ENSG00000069943,15,55318960,55355648,chr15:55318960,chr15:55355648,36688
ENSG00000069974,15,55202966,55319113,chr15:55202966,chr15:55319113,116147
ENSG00000070018,12,12116025,12267044,chr12:12116025,chr12:12267044,151019
ENSG00000070269,14,56488354,56650606,chr14:56488354,chr14:56650606,162252
ENSG00000070540,17,68420948,68457513,chr17:68420948,chr17:68457513,36565
ENSG00000070610,9,35736866,35749228,chr9:35736866,chr9:35749228,12362
ENSG00000072062,19,14091688,14118084,chr19:14091688,chr19:14118084,26396
ENSG00000072110,14,68874143,68979440,chr14:68874143,chr14:68979440,105297
ENSG00000072163,2,127638381,127681786,chr2:127638381,chr2:127681786,43405
ENSG00000072694,1,161663147,161678654,chr1:161663147,chr1:161678654,15507
ENSG00000073711,3,135965728,136147894,chr3:135965728,chr3:136147894,182166
ENSG00000074621,15,65611366,65660995,chr15:65611366,chr15:65660995,49629
ENSG00000074695,18,59327823,59359265,chr18:59327823,chr18:59359265,31442
ENSG00000074935,6,112070663,112087529,chr6:112070663,chr6:112087529,16866
ENSG00000075426,2,28392448,28417317,chr2:28392448,chr2:28417317,24869
ENSG00000075539,4,48497357,48780322,chr4:48497357,chr4:48780322,282965
ENSG00000075702,19,36054881,36105108,chr19:36054881,chr19:36105108,50227
ENSG00000075711,3,197042560,197299330,chr3:197042560,chr3:197299330,256770
ENSG00000075785,3,128726183,128814798,chr3:128726183,chr3:128814798,88615
ENSG00000077044,2,233354507,233472104,chr2:233354507,chr2:233472104,117597
ENSG00000077092,3,25174332,25597932,chr3:25174332,chr3:25597932,423600
ENSG00000077147,10,96518110,96587452,chr10:96518110,chr10:96587452,69342
ENSG00000077152,1,202331657,202341980,chr1:202331657,chr1:202341980,10323
ENSG00000078369,1,1785285,1891117,chr1:1785285,chr1:1891117,105832
ENSG00000078403,10,21524646,21743630,chr10:21524646,chr10:21743630,218984
ENSG00000078596,X,79360384,79367667,chrX:79360384,chrX:79367667,7283
ENSG00000078900,1,3652516,3736201,chr1:3652516,chr1:3736201,83685
ENSG00000079805,19,10718079,10833488,chr19:10718079,chr19:10833488,115409
ENSG00000080839,20,36996349,37095997,chr20:36996349,chr20:37095997,99648
ENSG00000081014,15,50908672,51005895,chr15:50908672,chr15:51005895,97223
ENSG00000081181,14,67619920,67651708,chr14:67619920,chr14:67651708,31788
ENSG00000083097,6,83067666,83171350,chr6:83067666,chr6:83171350,103684
ENSG00000083535,13,72782133,73016461,chr13:72782133,chr13:73016461,234328
ENSG00000084070,1,40344850,40423326,chr1:40344850,chr1:40423326,78476
ENSG00000084112,12,108778191,108857590,chr12:108778191,chr12:108857590,79399
ENSG00000084710,2,25042076,25159135,chr2:25042076,chr2:25159135,117059
ENSG00000085365,5,78360611,78480739,chr5:78360611,chr5:78480739,120128
ENSG00000085872,19,16517894,16542437,chr19:16517894,chr19:16542437,24543
ENSG00000086062,9,33104082,33167356,chr9:33104082,chr9:33167356,63274
ENSG00000086544,19,40717112,40740860,chr19:40717112,chr19:40740860,23748
ENSG00000086570,5,151504093,151568944,chr5:151504093,chr5:151568944,64851
ENSG00000086730,7,74199652,74229834,chr7:74199652,chr7:74229834,30182
ENSG00000087074,19,48872421,48876058,chr19:48872421,chr19:48876058,3637
ENSG00000087301,14,52430596,52552522,chr14:52430596,chr14:52552522,121926
ENSG00000088538,3,50674927,51384198,chr3:50674927,chr3:51384198,709271
ENSG00000088726,3,12733528,12769457,chr3:12733528,chr3:12769457,35929
ENSG00000088827,20,3686970,3707128,chr20:3686970,chr20:3707128,20158
ENSG00000088833,20,1442162,1473842,chr20:1442162,chr20:1473842,31680
ENSG00000089351,19,34994784,35026471,chr19:34994784,chr19:35026471,31687
ENSG00000089639,19,19629476,19643657,chr19:19629476,chr19:19643657,14181
ENSG00000089693,12,6747996,6767475,chr12:6747996,chr12:6767475,19479
ENSG00000091592,17,5499427,5619424,chr17:5499427,chr17:5619424,119997
ENSG00000092036,14,22946228,22957161,chr14:22946228,chr14:22957161,10933
ENSG00000092068,14,23125295,23183674,chr14:23125295,chr14:23183674,58379
ENSG00000092108,14,30622311,30735850,chr14:30622311,chr14:30735850,113539
ENSG00000092140,14,30559158,30620064,chr14:30559158,chr14:30620064,60906
ENSG00000092201,14,21351476,21384019,chr14:21351476,chr14:21384019,32543
ENSG00000092621,1,119648411,119744226,chr1:119648411,chr1:119744226,95815
ENSG00000092758,20,62816244,62841159,chr20:62816244,chr20:62841159,24915
ENSG00000092929,17,75827225,75844717,chr17:75827225,chr17:75844717,17492
ENSG00000092931,17,76735865,76781449,chr17:76735865,chr17:76781449,45584
ENSG00000094841,X,75156388,75304885,chrX:75156388,chrX:75304885,148497
ENSG00000095139,11,118572390,118603033,chr11:118572390,chr11:118603033,30643
ENSG00000095383,9,98199011,98255649,chr9:98199011,chr9:98255649,56638
ENSG00000095397,9,114402080,114505473,chr9:114402080,chr9:114505473,103393
ENSG00000095564,10,91923770,92030325,chr10:91923770,chr10:92030325,106555
